cou,sex,year,value,fillKey
FRA,WOMEN,2000,49.1,40-50
FRA,WOMEN,2001,48.9,40-50
FRA,WOMEN,2002,49.1,40-50
FRA,WOMEN,2003,50.4,50-60
FRA,WOMEN,2004,50.6,50-60
FRA,WOMEN,2005,50.7,50-60
FRA,WOMEN,2006,50.8,50-60
FRA,WOMEN,2007,51.1,50-60
FRA,WOMEN,2008,51.3,50-60
FRA,WOMEN,2009,51.7,50-60
FRA,WOMEN,2010,51.7,50-60
FRA,WOMEN,2011,51.6,50-60
FRA,WOMEN,2012,51.8,50-60
FRA,WOMEN,2013,51.8,50-60
FRA,WOMEN,2014,51.8,50-60
GBR,WOMEN,2000,54.9,50-60
GBR,WOMEN,2001,54.9,50-60
GBR,WOMEN,2002,55.4,50-60
GBR,WOMEN,2003,55.3,50-60
GBR,WOMEN,2004,55.7,50-60
GBR,WOMEN,2005,55.9,50-60
GBR,WOMEN,2006,56.6,50-60
GBR,WOMEN,2007,56.2,50-60
GBR,WOMEN,2008,56.5,50-60
GBR,WOMEN,2009,56.6,50-60
GBR,WOMEN,2010,56.6,50-60
GBR,WOMEN,2011,56.7,50-60
GBR,WOMEN,2012,56.8,50-60
GBR,WOMEN,2013,57.2,50-60
GBR,WOMEN,2014,57.6,50-60
GRC,WOMEN,2000,40.3,40-50
GRC,WOMEN,2001,39.5,30-40
GRC,WOMEN,2002,40.1,40-50
GRC,WOMEN,2003,40.8,40-50
GRC,WOMEN,2004,42.0,40-50
GRC,WOMEN,2005,42.1,40-50
GRC,WOMEN,2006,42.4,40-50
GRC,WOMEN,2007,42.4,40-50
GRC,WOMEN,2008,42.4,40-50
GRC,WOMEN,2009,43.5,40-50
GRC,WOMEN,2010,44.1,40-50
GRC,WOMEN,2011,43.8,40-50
GRC,WOMEN,2012,44.0,40-50
GRC,WOMEN,2013,43.8,40-50
GRC,WOMEN,2014,44.1,40-50
HUN,WOMEN,2000,45.5,40-50
HUN,WOMEN,2001,45.4,40-50
HUN,WOMEN,2002,45.8,40-50
HUN,WOMEN,2003,46.9,40-50
HUN,WOMEN,2004,47.0,40-50
HUN,WOMEN,2005,47.8,40-50
HUN,WOMEN,2006,48.2,40-50
HUN,WOMEN,2007,47.8,40-50
HUN,WOMEN,2008,47.6,40-50
HUN,WOMEN,2009,47.7,40-50
HUN,WOMEN,2010,48.8,40-50
HUN,WOMEN,2011,49.1,40-50
HUN,WOMEN,2012,50.2,50-60
HUN,WOMEN,2013,50.5,50-60
HUN,WOMEN,2014,52.1,50-60
IRL,WOMEN,2000,47.8,40-50
IRL,WOMEN,2001,48.2,40-50
IRL,WOMEN,2002,49.0,40-50
IRL,WOMEN,2003,49.3,40-50
IRL,WOMEN,2004,49.8,40-50
IRL,WOMEN,2005,51.9,50-60
IRL,WOMEN,2006,53.1,50-60
IRL,WOMEN,2007,54.7,50-60
IRL,WOMEN,2008,54.5,50-60
IRL,WOMEN,2009,54.0,50-60
IRL,WOMEN,2010,53.4,50-60
IRL,WOMEN,2011,53.2,50-60
IRL,WOMEN,2012,52.8,50-60
IRL,WOMEN,2013,53.4,50-60
IRL,WOMEN,2014,52.6,50-60
ISL,WOMEN,2000,77.4,70-80
ISL,WOMEN,2001,77.3,70-80
ISL,WOMEN,2002,76.7,70-80
ISL,WOMEN,2003,78.3,70-80
ISL,WOMEN,2004,76.3,70-80
ISL,WOMEN,2005,77.8,70-80
ISL,WOMEN,2006,78.5,70-80
ISL,WOMEN,2007,78.6,70-80
ISL,WOMEN,2008,77.7,70-80
ISL,WOMEN,2009,77.1,70-80
ISL,WOMEN,2010,77.6,70-80
