cou,sex,year,men,fillKey
LTU,MEN,2011,63.1,60-70
LTU,MEN,2012,63.2,60-70
LTU,MEN,2013,64.1,60-70
LTU,MEN,2014,65.0,60-70
LUX,MEN,2000,66.1,60-70
LUX,MEN,2001,65.7,60-70
LUX,MEN,2002,66.5,60-70
LUX,MEN,2003,65.1,60-70
LUX,MEN,2004,64.9,60-70
LUX,MEN,2005,65.1,60-70
LUX,MEN,2006,60.4,60-70
LUX,MEN,2007,61.3,60-70
LUX,MEN,2008,64.1,60-70
LUX,MEN,2009,66.6,60-70
LUX,MEN,2010,65.8,60-70
LUX,MEN,2011,65.0,60-70
LUX,MEN,2012,65.7,60-70
LUX,MEN,2013,66.3,60-70
LUX,MEN,2014,66.8,60-70
LVA,MEN,2000,64.4,60-70
LVA,MEN,2001,64.7,60-70
LVA,MEN,2002,65.8,60-70
LVA,MEN,2003,65.4,60-70
LVA,MEN,2004,65.4,60-70
LVA,MEN,2005,65.6,60-70
LVA,MEN,2006,67.6,60-70
LVA,MEN,2007,69.1,60-70
LVA,MEN,2008,69.6,60-70
LVA,MEN,2009,67.0,60-70
LVA,MEN,2010,65.0,60-70
LVA,MEN,2011,65.3,60-70
LVA,MEN,2012,66.4,60-70
LVA,MEN,2013,66.1,60-70
LVA,MEN,2014,66.5,60-70
NLD,MEN,2000,72.7,70-80
NLD,MEN,2001,72.5,70-80
NLD,MEN,2002,72.9,70-80
NLD,MEN,2003,72.0,70-80
NLD,MEN,2004,71.8,70-80
NLD,MEN,2005,71.7,70-80
NLD,MEN,2006,71.4,70-80
NLD,MEN,2007,72.2,70-80
NLD,MEN,2008,72.8,70-80
NLD,MEN,2009,72.5,70-80
NLD,MEN,2010,71.5,70-80
NLD,MEN,2011,70.8,70-80
NLD,MEN,2012,71.1,70-80
NLD,MEN,2013,71.1,70-80
NLD,MEN,2014,70.5,70-80
NOR,MEN,2000,78.0,70-80
NOR,MEN,2001,77.7,70-80
NOR,MEN,2002,77.3,70-80
NOR,MEN,2003,76.6,70-80
NOR,MEN,2004,76.4,70-80
NOR,MEN,2005,76.2,70-80
NOR,MEN,2006,75.6,70-80
NOR,MEN,2007,76.0,70-80
NOR,MEN,2008,77.1,70-80
NOR,MEN,2009,75.6,70-80
NOR,MEN,2010,75.0,70-80
NOR,MEN,2011,74.1,70-80
NOR,MEN,2012,74.4,70-80
NOR,MEN,2013,73.9,70-80
NOR,MEN,2014,73.6,70-80
POL,MEN,2000,64.1,60-70
POL,MEN,2001,63.8,60-70
POL,MEN,2002,62.9,60-70
POL,MEN,2003,62.2,60-70
POL,MEN,2004,62.3,60-70
POL,MEN,2005,62.8,60-70
POL,MEN,2006,62.1,60-70
POL,MEN,2007,61.9,60-70
POL,MEN,2008,62.7,60-70
POL,MEN,2009,63.4,60-70
POL,MEN,2010,63.7,60-70
POL,MEN,2011,64.0,60-70
POL,MEN,2012,64.3,60-70
POL,MEN,2013,64.4,60-70
POL,MEN,2014,64.7,60-70
PRT,MEN,2000,69.8,60-70
PRT,MEN,2001,70.2,70-80
PRT,MEN,2002,70.5,70-80
