COU,SEX,Time,Value
LTU,WOMEN,2013,52.9
LUX,WOMEN,2013,52.5
LVA,WOMEN,2013,54.0
NLD,WOMEN,2013,59.4
NOR,WOMEN,2013,68.4
POL,WOMEN,2013,48.2
PRT,WOMEN,2013,54.1
SVK,WOMEN,2013,51.0
SVN,WOMEN,2013,51.6
SWE,WOMEN,2013,68.7
TUR,WOMEN,2013,30.8
AUT,WOMEN,2014,55.3
BEL,WOMEN,2014,48.1
CHE,WOMEN,2014,62.6
CZE,WOMEN,2014,50.9
DEU,WOMEN,2014,54.8
DNK,WOMEN,2014,58.1
ESP,WOMEN,2014,53.7
EST,WOMEN,2014,63.4
FIN,WOMEN,2014,63.4
FRA,WOMEN,2014,51.8
GBR,WOMEN,2014,57.6
GRC,WOMEN,2014,44.1
HUN,WOMEN,2014,52.1
IRL,WOMEN,2014,52.6
ISL,WOMEN,2014,78.2
ITA,WOMEN,2014,40.5
LTU,WOMEN,2014,53.9
LUX,WOMEN,2014,53.4
LVA,WOMEN,2014,53.4
NLD,WOMEN,2014,58.5
NOR,WOMEN,2014,68.3
POL,WOMEN,2014,48.5
PRT,WOMEN,2014,53.8
SVK,WOMEN,2014,51.1
SVN,WOMEN,2014,52.2
SWE,WOMEN,2014,69.1
TUR,WOMEN,2014,30.3
