COU,SEX,Time,Value
FRA,WOMEN,2000,49.1
FRA,ALL_PERSONS,2001,55.5
FRA,MEN,2001,62.7
FRA,WOMEN,2001,48.9
FRA,ALL_PERSONS,2002,55.7
FRA,MEN,2002,62.9
FRA,WOMEN,2002,49.1
FRA,ALL_PERSONS,2003,56.5
FRA,MEN,2003,63.1
FRA,WOMEN,2003,50.4
FRA,ALL_PERSONS,2004,56.5
FRA,MEN,2004,62.9
FRA,WOMEN,2004,50.6
FRA,ALL_PERSONS,2005,56.4
FRA,MEN,2005,62.6
FRA,WOMEN,2005,50.7
FRA,ALL_PERSONS,2006,56.3
FRA,MEN,2006,62.3
FRA,WOMEN,2006,50.8
FRA,ALL_PERSONS,2007,56.4
FRA,MEN,2007,62.2
FRA,WOMEN,2007,51.1
FRA,ALL_PERSONS,2008,56.5
FRA,MEN,2008,62.1
FRA,WOMEN,2008,51.3
FRA,ALL_PERSONS,2009,56.7
FRA,MEN,2009,62.2
FRA,WOMEN,2009,51.7
FRA,ALL_PERSONS,2010,56.7
FRA,MEN,2010,62.1
FRA,WOMEN,2010,51.7
FRA,ALL_PERSONS,2011,56.5
FRA,MEN,2011,61.7
FRA,WOMEN,2011,51.6
FRA,ALL_PERSONS,2012,56.7
FRA,MEN,2012,61.9
FRA,WOMEN,2012,51.8
FRA,ALL_PERSONS,2013,56.5
FRA,MEN,2013,61.6
FRA,WOMEN,2013,51.8
FRA,ALL_PERSONS,2014,56.2
FRA,MEN,2014,61.1
FRA,WOMEN,2014,51.8
DEU,ALL_PERSONS,2000,57.6
DEU,MEN,2000,66.6
DEU,WOMEN,2000,49.1
DEU,ALL_PERSONS,2001,57.5
DEU,MEN,2001,66.3
DEU,WOMEN,2001,49.3
DEU,ALL_PERSONS,2002,57.2
DEU,MEN,2002,65.5
DEU,WOMEN,2002,49.4
DEU,ALL_PERSONS,2003,56.9
DEU,MEN,2003,64.8
DEU,WOMEN,2003,49.5
DEU,ALL_PERSONS,2004,57.1
DEU,MEN,2004,64.8
DEU,WOMEN,2004,49.8
DEU,ALL_PERSONS,2005,58.5
DEU,MEN,2005,66.3
DEU,WOMEN,2005,51.1
DEU,ALL_PERSONS,2006,59
DEU,MEN,2006,66.4
DEU,WOMEN,2006,52
DEU,ALL_PERSONS,2007,59.2
DEU,MEN,2007,66.3
DEU,WOMEN,2007,52.4
DEU,ALL_PERSONS,2008,59.3
DEU,MEN,2008,66.4
DEU,WOMEN,2008,52.5
DEU,ALL_PERSONS,2009,59.5
DEU,MEN,2009,66.3
DEU,WOMEN,2009,52.9
DEU,ALL_PERSONS,2010,59.5
DEU,MEN,2010,66.2
DEU,WOMEN,2010,53.2
DEU,ALL_PERSONS,2011,60.1
DEU,MEN,2011,66.6
DEU,WOMEN,2011,54
DEU,ALL_PERSONS,2012,60.1
DEU,MEN,2012,66.4
DEU,WOMEN,2012,54
DEU,ALL_PERSONS,2013,60.3
DEU,MEN,2013,66.4
DEU,WOMEN,2013,54.6
DEU,ALL_PERSONS,2014,60.4
DEU,MEN,2014,66.3
DEU,WOMEN,2014,54.8
GRC,ALL_PERSONS,2000,52.2
GRC,MEN,2000,64.7
GRC,WOMEN,2000,40.3
GRC,ALL_PERSONS,2001,51.4
GRC,MEN,2001,64.1
GRC,WOMEN,2001,39.5
GRC,ALL_PERSONS,2002,51.8
GRC,MEN,2002,64.1
GRC,WOMEN,2002,40.1
GRC,ALL_PERSONS,2003,52.3
GRC,MEN,2003,64.3
GRC,WOMEN,2003,40.8
GRC,ALL_PERSONS,2004,52.9
GRC,MEN,2004,64.4
GRC,WOMEN,2004,42
GRC,ALL_PERSONS,2005,52.9
GRC,MEN,2005,64.3
GRC,WOMEN,2005,42.1
GRC,ALL_PERSONS,2006,53.1
GRC,MEN,2006,64.4
GRC,WOMEN,2006,42.4
GRC,ALL_PERSONS,2007,52.9
GRC,MEN,2007,64.2
GRC,WOMEN,2007,42.4
GRC,ALL_PERSONS,2008,53
GRC,MEN,2008,64.2
GRC,WOMEN,2008,42.4
GRC,ALL_PERSONS,2009,53.4
GRC,MEN,2009,64
GRC,WOMEN,2009,43.5
GRC,ALL_PERSONS,2010,53.5
GRC,MEN,2010,63.6
GRC,WOMEN,2010,44.1
GRC,ALL_PERSONS,2011,52.7
GRC,MEN,2011,62.2
GRC,WOMEN,2011,43.8
GRC,ALL_PERSONS,2012,52.3
GRC,MEN,2012,61.3
GRC,WOMEN,2012,44
GRC,ALL_PERSONS,2013,52
GRC,MEN,2013,60.9
GRC,WOMEN,2013,43.8
GRC,ALL_PERSONS,2014,51.8
GRC,MEN,2014,60.1
GRC,WOMEN,2014,44.1
HUN,ALL_PERSONS,2000,53
HUN,MEN,2000,61.1
HUN,WOMEN,2000,45.5
HUN,ALL_PERSONS,2001,52.8
HUN,MEN,2001,60.9
HUN,WOMEN,2001,45.4
HUN,ALL_PERSONS,2002,52.9
HUN,MEN,2002,60.8
HUN,WOMEN,2002,45.8
HUN,ALL_PERSONS,2003,53.8
HUN,MEN,2003,61.4
HUN,WOMEN,2003,46.9
HUN,ALL_PERSONS,2004,53.8
HUN,MEN,2004,61.2
HUN,WOMEN,2004,47
HUN,ALL_PERSONS,2005,54.5
HUN,MEN,2005,61.7
HUN,WOMEN,2005,47.8
HUN,ALL_PERSONS,2006,55
HUN,MEN,2006,62.5
HUN,WOMEN,2006,48.2
HUN,ALL_PERSONS,2007,54.7
HUN,MEN,2007,62.3
HUN,WOMEN,2007,47.8
HUN,ALL_PERSONS,2008,54.3
HUN,MEN,2008,61.6
HUN,WOMEN,2008,47.6
HUN,ALL_PERSONS,2009,54.3
HUN,MEN,2009,61.4
HUN,WOMEN,2009,47.7
HUN,ALL_PERSONS,2010,54.8
HUN,MEN,2010,61.4
HUN,WOMEN,2010,48.8
HUN,ALL_PERSONS,2011,55.2
HUN,MEN,2011,61.9
HUN,WOMEN,2011,49.1
HUN,ALL_PERSONS,2012,56.3
HUN,MEN,2012,62.9
HUN,WOMEN,2012,50.2
HUN,ALL_PERSONS,2013,57
HUN,MEN,2013,63.9
HUN,WOMEN,2013,50.5
HUN,ALL_PERSONS,2014,58.7
HUN,MEN,2014,65.7
HUN,WOMEN,2014,52.1
ISL,ALL_PERSONS,2000,81.8
ISL,MEN,2000,86.2
ISL,WOMEN,2000,77.4
ISL,ALL_PERSONS,2001,81.9
ISL,MEN,2001,86.5
ISL,WOMEN,2001,77.3
ISL,ALL_PERSONS,2002,81.1
ISL,MEN,2002,85.5
ISL,WOMEN,2002,76.7
ISL,ALL_PERSONS,2003,82.1
ISL,MEN,2003,85.9
ISL,WOMEN,2003,78.3
ISL,ALL_PERSONS,2004,80.7
ISL,MEN,2004,85
ISL,WOMEN,2004,76.3
ISL,ALL_PERSONS,2005,81.9
ISL,MEN,2005,86
ISL,WOMEN,2005,77.8
ISL,ALL_PERSONS,2006,83.3
ISL,MEN,2006,87.8
ISL,WOMEN,2006,78.5
ISL,ALL_PERSONS,2007,83.2
ISL,MEN,2007,87.5
ISL,WOMEN,2007,78.6
ISL,ALL_PERSONS,2008,82.6
ISL,MEN,2008,87.1
ISL,WOMEN,2008,77.7
ISL,ALL_PERSONS,2009,80.9
ISL,MEN,2009,84.7
ISL,WOMEN,2009,77.1
ISL,ALL_PERSONS,2010,81
ISL,MEN,2010,84.4
ISL,WOMEN,2010,77.6
ISL,ALL_PERSONS,2011,80.4
ISL,MEN,2011,83.7
ISL,WOMEN,2011,77
ISL,ALL_PERSONS,2012,80.5
ISL,MEN,2012,83.1
ISL,WOMEN,2012,77.7
ISL,ALL_PERSONS,2013,81.4
ISL,MEN,2013,84.2
ISL,WOMEN,2013,78.5
ISL,ALL_PERSONS,2014,81.5
ISL,MEN,2014,84.7
ISL,WOMEN,2014,78.2
IRL,ALL_PERSONS,2000,59.6
IRL,MEN,2000,71.7
IRL,WOMEN,2000,47.8
IRL,ALL_PERSONS,2001,59.8
IRL,MEN,2001,71.7
IRL,WOMEN,2001,48.2
IRL,ALL_PERSONS,2002,59.8
IRL,MEN,2002,71
IRL,WOMEN,2002,49
IRL,ALL_PERSONS,2003,59.9
IRL,MEN,2003,70.9
IRL,WOMEN,2003,49.3
IRL,ALL_PERSONS,2004,60.5
IRL,MEN,2004,71.5
IRL,WOMEN,2004,49.8
IRL,ALL_PERSONS,2005,62.1
IRL,MEN,2005,72.5
IRL,WOMEN,2005,51.9
IRL,ALL_PERSONS,2006,63.2
IRL,MEN,2006,73.4
IRL,WOMEN,2006,53.1
IRL,ALL_PERSONS,2007,64.1
IRL,MEN,2007,73.7
IRL,WOMEN,2007,54.7
IRL,ALL_PERSONS,2008,63.7
IRL,MEN,2008,73.1
IRL,WOMEN,2008,54.5
IRL,ALL_PERSONS,2009,62.5
IRL,MEN,2009,71.1
IRL,WOMEN,2009,54
IRL,ALL_PERSONS,2010,61.1
IRL,MEN,2010,69
IRL,WOMEN,2010,53.4
IRL,ALL_PERSONS,2011,60.5
IRL,MEN,2011,68.2
IRL,WOMEN,2011,53.2
IRL,ALL_PERSONS,2012,60.1
IRL,MEN,2012,67.8
IRL,WOMEN,2012,52.8
IRL,ALL_PERSONS,2013,60.5
IRL,MEN,2013,67.9
IRL,WOMEN,2013,53.4
IRL,ALL_PERSONS,2014,60
IRL,MEN,2014,67.7
IRL,WOMEN,2014,52.6
ITA,ALL_PERSONS,2000,48.5
ITA,MEN,2000,62.2
ITA,WOMEN,2000,35.8
ITA,ALL_PERSONS,2001,48.7
ITA,MEN,2001,62
ITA,WOMEN,2001,36.4
ITA,ALL_PERSONS,2002,48.9
ITA,MEN,2002,62
ITA,WOMEN,2002,36.8
ITA,ALL_PERSONS,2003,49.2
ITA,MEN,2003,62.3
ITA,WOMEN,2003,37.1
ITA,ALL_PERSONS,2004,49.5
ITA,MEN,2004,61.3
ITA,WOMEN,2004,38.5
ITA,ALL_PERSONS,2005,49.1
ITA,MEN,2005,60.9
ITA,WOMEN,2005,38.1
ITA,ALL_PERSONS,2006,49.1
ITA,MEN,2006,60.8
ITA,WOMEN,2006,38.2
ITA,ALL_PERSONS,2007,48.8
ITA,MEN,2007,60.4
ITA,WOMEN,2007,37.9
ITA,ALL_PERSONS,2008,49.7
ITA,MEN,2008,61.1
ITA,WOMEN,2008,39.1
ITA,ALL_PERSONS,2009,49
ITA,MEN,2009,60.3
ITA,WOMEN,2009,38.6
ITA,ALL_PERSONS,2010,48.7
ITA,MEN,2010,59.8
ITA,WOMEN,2010,38.6
ITA,ALL_PERSONS,2011,48.7
ITA,MEN,2011,59.4
ITA,WOMEN,2011,38.8
ITA,ALL_PERSONS,2012,49.6
ITA,MEN,2012,59.9
ITA,WOMEN,2012,40.1
ITA,ALL_PERSONS,2013,49.3
ITA,MEN,2013,59.3
ITA,WOMEN,2013,40.1
ITA,ALL_PERSONS,2014,49.6
ITA,MEN,2014,59.4
ITA,WOMEN,2014,40.5
LVA,ALL_PERSONS,2000,56.2
LVA,MEN,2000,64.4
LVA,WOMEN,2000,49.4
LVA,ALL_PERSONS,2001,56.6
LVA,MEN,2001,64.7
LVA,WOMEN,2001,50.1
LVA,ALL_PERSONS,2002,57.4
LVA,MEN,2002,65.8
LVA,WOMEN,2002,50.5
LVA,ALL_PERSONS,2003,57.3
LVA,MEN,2003,65.4
LVA,WOMEN,2003,50.8
LVA,ALL_PERSONS,2004,57.6
LVA,MEN,2004,65.4
LVA,WOMEN,2004,51.3
LVA,ALL_PERSONS,2005,57.4
LVA,MEN,2005,65.6
LVA,WOMEN,2005,50.7
LVA,ALL_PERSONS,2006,59.1
LVA,MEN,2006,67.6
LVA,WOMEN,2006,52.2
